param_name,seed,avg_test_pcc,avg_test_rmse,avg_train_pcc,avg_train_rmse,fold01_test_pcc,fold02_test_pcc,fold03_test_pcc,fold04_test_pcc,fold05_test_pcc,fold06_test_pcc,fold07_test_pcc,fold08_test_pcc,fold09_test_pcc,fold10_test_pcc
thresh10.0_squaredFalse,0,0.7155837605742901,1.314592956203628,0.999738636592981,0.04614196442353027,0.6928245528748296,0.7179278743546575,0.706033889092415,0.6934048485338506,0.723362113246867,0.7314982373364216,0.7149578859852284,0.7751723106998212,0.7196418787163663,0.6810140149024435
thresh10.0_squaredFalse,1,0.7150561937799086,1.3154378682302301,0.9997410821927184,0.04591660546171079,0.6901019235521084,0.7159494309824841,0.7048245999982454,0.6941297705582073,0.7231662249502586,0.7305972583124645,0.7201653293136572,0.7702761915460834,0.7225441246813553,0.678807083904222
thresh10.0_squaredFalse,2,0.714417174605776,1.3166803165607635,0.9997404801466615,0.0459753610790299,0.687485659344379,0.7142693941990523,0.7054944268641616,0.6953902641850602,0.7244380170914884,0.7294698917761665,0.7169529506645895,0.7748726404943904,0.7187866411857939,0.677011860252678
thresh10.0_squaredFalse,3,0.7156171152808424,1.3143808029998172,0.9997416912056343,0.04586592887817138,0.690807145678821,0.7178957182778307,0.7038966835843478,0.6971809272134977,0.7250009113288408,0.7299952242011117,0.7180996318238757,0.772385688361225,0.7196495156421636,0.6812597066967102
thresh10.0_squaredFalse,4,0.7152365951603712,1.315011435110828,0.9997410906186136,0.04591690191905492,0.6881649210865327,0.7163200559389785,0.705406144225557,0.6906339033077149,0.7243142974225929,0.7340645127464241,0.7226846477543855,0.7725062292740315,0.7212707357616363,0.6770005040858587
thresh10.0_squaredFalse,5,0.7157702858804088,1.3143265428025503,0.9997394673863933,0.04606683701914824,0.6922253216453146,0.7135934041128194,0.7056791554658777,0.6959703723550322,0.7282126675061835,0.7297830704295744,0.7187471184046385,0.7735613334352918,0.7183662906066596,0.6815641248426967
thresh10.0_squaredFalse,6,0.7158230150945666,1.3139981221282515,0.9997397757290891,0.04603334441291691,0.6878989045584651,0.7168635083915132,0.7032538521708214,0.6972826926071417,0.7256696987986726,0.7289973278572693,0.7188065947877801,0.7769538487516183,0.7215596240437494,0.6809440989786348
thresh10.0_squaredFalse,7,0.714412408657403,1.3168288561847994,0.9997403978995848,0.045973682204426346,0.6845021340805292,0.7175027233809669,0.7046703098712785,0.6925775452962576,0.7245690256022956,0.7311535828087219,0.7159100376433527,0.7723135680349216,0.7214704282068263,0.6794547316488788
thresh10.0_squaredFalse,8,0.7154795737558597,1.3147533129679239,0.9997412866373535,0.04589802314387185,0.6906495389548266,0.7163059362402231,0.7035215606507614,0.698277932850919,0.7269041140993102,0.7301898475831544,0.7178251667102965,0.7713251081033956,0.7198323486854068,0.6799641836803025
thresh10.0_squaredFalse,9,0.715329831082974,1.3151270807978135,0.9997408276314449,0.045938615883641745,0.6867097958768249,0.717199105517085,0.7011094407497591,0.6933683835230384,0.7242769645524636,0.7338441287729907,0.7201966451275095,0.7736373345969882,0.7233467985687655,0.6796097135443149
thresh10.0_squaredTrue,0,0.7183377183115373,1.3095575132241972,0.9997338057653156,0.046598680568586695,0.7019699811255529,0.716138621299959,0.7055258978428347,0.701262185037977,0.7269385937632888,0.7312262163067811,0.7139496698934014,0.7807972992333807,0.7245469833646264,0.6810217352475705
thresh10.0_squaredTrue,1,0.71897412669981,1.308425376166944,0.9997361308086727,0.046395395047110294,0.6983419220465529,0.716342881009726,0.7044696721977006,0.7027081547860434,0.7293879973031046,0.7325588149357557,0.713763431838103,0.7800415930901256,0.7264330189096022,0.6856937808813859
thresh10.0_squaredTrue,2,0.7186914790879969,1.3088622707120514,0.9997350537122889,0.04647837169473089,0.699394446043873,0.7160627379450952,0.7074201127713606,0.7036730034598737,0.7267786386993367,0.7345743374014012,0.7160675479272722,0.7764387635651928,0.7198524166710895,0.6866527863954741
thresh10.0_squaredTrue,3,0.7189893472799677,1.3081537268904966,0.999736467808221,0.04635334052813508,0.6979961590959047,0.7200811299569607,0.7066788273154068,0.7008059135674922,0.7281077948746846,0.7345544111505774,0.7166740808505434,0.7785623273868465,0.7231818117601079,0.6832510168411514
thresh10.0_squaredTrue,4,0.7171442932014707,1.3119133292354381,0.9997375563401766,0.046258703656999516,0.6986612906946839,0.7147875274870705,0.7040917929471087,0.7009477080799279,0.7250738648326605,0.7324546982126617,0.7147799827180568,0.776980148838383,0.724650342669763,0.6790155755343907
thresh10.0_squaredTrue,5,0.7183265317523906,1.3095924264030014,0.9997348314650003,0.046497317599559704,0.6978999381201467,0.7183202532796037,0.7070513853616965,0.6978736045350142,0.7263216880296108,0.733754293840468,0.7158227216656671,0.7795087975714731,0.72496257464734,0.6817500604728868
thresh10.0_squaredTrue,6,0.717815579859104,1.31068985200243,0.9997351941303776,0.04646929626294655,0.6915720238563469,0.7171591216501682,0.707826522060939,0.7008753230934093,0.7271302571274643,0.7336243914174403,0.7146912526483649,0.780762074129294,0.7201962512035217,0.6843185814040926
thresh10.0_squaredTrue,7,0.7185802080748672,1.309103905946979,0.9997353257445301,0.04645119081020743,0.6986613908801229,0.7190664780518612,0.7056199683648445,0.7010135520346549,0.7270177989280758,0.7327942473133267,0.7139380418725992,0.7805975087253515,0.7227953091723373,0.684297785405499
