condition,seed,avg_test_pcc,avg_test_rmse,n_estimators,learning_rate,max_depth,avg_train_pcc,avg_train_rmse,fold01_test_pcc,fold02_test_pcc,fold03_test_pcc,fold04_test_pcc,fold05_test_pcc,fold06_test_pcc,fold07_test_pcc,fold08_test_pcc,fold09_test_pcc,fold10_test_pcc
n_estimators-100-learning_rate-0.001-max_depth-10,0,0.6572251075684825,1.8164267186342777,100,0.001,10,0.8239743268628941,1.7911517086344102,0.6460517341511878,0.6468298783496506,0.6593415438527016,0.6358843720712959,0.6596994602251427,0.6453152211052304,0.6656308066601742,0.7042119660692927,0.6869114031783026,0.6223746900218475
n_estimators-100-learning_rate-0.001-max_depth-10,1,0.6573600223452201,1.8164432992320232,100,0.001,10,0.8239905188280062,1.791358980288835,0.6512136823396266,0.6509134770895688,0.6563909159300534,0.6352332028055054,0.6598189411993024,0.6408853934066813,0.6683514667603091,0.7014924230853266,0.686802860896677,0.6224978599391504
n_estimators-100-learning_rate-0.001-max_depth-10,2,0.6572196376635994,1.8165233943594576,100,0.001,10,0.8253023276583578,1.7909562021703398,0.6434612063987801,0.6482979948078527,0.6562426873514657,0.6396826092914341,0.6647072422006599,0.646072544785476,0.6643218570851337,0.7024882566521322,0.6830528027198713,0.6238691753431884
n_estimators-100-learning_rate-0.001-max_depth-10,3,0.6557212412396011,1.8169076927921366,100,0.001,10,0.8242928919911687,1.7915007342802038,0.6447560384374991,0.6445321130662788,0.6567942599042529,0.6358705853268347,0.6625209527880166,0.6368577610104883,0.6661630759229596,0.7003335997248181,0.687863722270529,0.6215203039443331
n_estimators-100-learning_rate-0.001-max_depth-10,4,0.656402471326786,1.8165813978046903,100,0.001,10,0.8245223738122739,1.7913527557028666,0.646778162911784,0.6477655460685399,0.6598635945200291,0.631937549044739,0.663268219735383,0.6448718952685206,0.6621368736927349,0.6998403354374263,0.6878635560059168,0.6196989805827863
n_estimators-100-learning_rate-0.001-max_depth-10,5,0.6583294152342573,1.8164027623322216,100,0.001,10,0.8248534336272286,1.7912511076155293,0.6472459132997233,0.6515662016859021,0.6565925138454226,0.6352377772138406,0.6617750830394455,0.6457840752997794,0.6665300733911115,0.7037868313337964,0.6922806256263221,0.6224950576072299
n_estimators-100-learning_rate-0.001-max_depth-10,6,0.6569686860363214,1.8167348200973947,100,0.001,10,0.8239134743562252,1.791401392190351,0.65058383471158,0.6476470630334858,0.6556256999230885,0.631323422611641,0.664553266391665,0.6426967561731627,0.6664571002054679,0.7009041613230886,0.6905024166519409,0.6193931393380945
n_estimators-100-learning_rate-0.001-max_depth-10,7,0.6564423968092776,1.81653033227238,100,0.001,10,0.8246486045516962,1.7913704770385397,0.6469492903997995,0.6520895530562394,0.6593480346771952,0.631531073714129,0.6605675157193227,0.6430234111669746,0.6620637177479227,0.7011437484906413,0.6891771764168739,0.6185304467036771
n_estimators-100-learning_rate-0.001-max_depth-10,8,0.6569090300516729,1.8164586766004767,100,0.001,10,0.8258407277222564,1.7910958685529739,0.6491592321565953,0.6530531750797072,0.6607567706378703,0.6318067326333939,0.6642519941327715,0.6374139710799259,0.6561440820748354,0.6996690556150272,0.6920264115529172,0.6248088755536855
n_estimators-100-learning_rate-0.001-max_depth-10,9,0.658015546263853,1.81634333454758,100,0.001,10,0.8244294323157451,1.7912034907740662,0.65319052995536,0.6521473952149466,0.6566612086668188,0.6347409057632847,0.6596367716709813,0.6403410842395778,0.6648645130955464,0.7041023654559764,0.6876904534325654,0.6267802351434733
n_estimators-100-learning_rate-0.001-max_depth-4,0,0.5867194139496612,1.8382570009531278,100,0.001,4,0.6121165223490533,1.8357688654459612,0.5718599063571961,0.5548777775682892,0.5805567973310144,0.5622807936837655,0.5951920324906008,0.5492772957378751,0.6036455829259201,0.6299705630558148,0.6490413349818078,0.5704920553643288
n_estimators-100-learning_rate-0.001-max_depth-4,1,0.5890642069043753,1.8381996590376364,100,0.001,4,0.6118493971224095,1.8359621156227282,0.5802495868059485,0.5668578708048311,0.5775677259378829,0.562885686341597,0.5903654155861364,0.5556234172489135,0.6080862972137362,0.6265277193589174,0.6487401054185955,0.5737382443271943
n_estimators-100-learning_rate-0.001-max_depth-4,2,0.5888369429267737,1.8376913716009884,100,0.001,4,0.6115838269580198,1.8355825907228336,0.5748675046387884,0.5702434215018771,0.5847505229288981,0.5681535429448641,0.5985267059085246,0.5515544283366851,0.6028730790741756,0.6258528791717164,0.638439008838179,0.5731083359240283
