condition,seed,avg_test_pcc,avg_test_rmse,n_estimators,learning_rate,max_depth,avg_train_pcc,avg_train_rmse,fold01_test_pcc,fold02_test_pcc,fold03_test_pcc,fold04_test_pcc,fold05_test_pcc,fold06_test_pcc,fold07_test_pcc,fold08_test_pcc,fold09_test_pcc,fold10_test_pcc
n_estimators-100-learning_rate-0.001-max_depth-10,0,0.6630275294365654,1.8138455302124676,100,0.001,10,0.836313960834393,1.787113626770833,0.652479446020026,0.6633892632662624,0.6583475244175045,0.6377994475943243,0.6715638595586244,0.6519529457220881,0.6654132620691338,0.7108964049522224,0.6903964282012506,0.6280367125642179
n_estimators-100-learning_rate-0.001-max_depth-10,1,0.663176432900947,1.8135202521170384,100,0.001,10,0.836939805401871,1.7867903903680926,0.6590996452906622,0.6577432963243797,0.6606718224727944,0.6339554569288797,0.6753107008475622,0.6531741936848855,0.6691348208129999,0.712574422427287,0.6854787877686044,0.6246211824514164
n_estimators-100-learning_rate-0.001-max_depth-10,2,0.6625796370014344,1.8139824595510217,100,0.001,10,0.839048385513857,1.7864412862716854,0.6596604122184323,0.6609135901960697,0.6605803881000682,0.6371188283526333,0.674892488739355,0.6511776595169196,0.6666622532063469,0.7092152832321955,0.6830559876902352,0.622519478762088
n_estimators-100-learning_rate-0.001-max_depth-10,3,0.6614013184593233,1.814213743051564,100,0.001,10,0.8363629203555384,1.787169784182635,0.6526963255433301,0.6594221068755696,0.6579346174212792,0.6365728875281014,0.667278841144588,0.6473666972254859,0.6651449304609668,0.7115184434601924,0.6872408897480873,0.6288374451856326
n_estimators-100-learning_rate-0.001-max_depth-10,4,0.662321451087424,1.8138212920542647,100,0.001,10,0.8365757613294642,1.7871883791220917,0.6543374113144007,0.6552865962664294,0.6590132068940427,0.6338111776909525,0.6698420524963165,0.6553032326452612,0.6653167350625477,0.7124825930967581,0.6885998921794119,0.6292216132281199
n_estimators-100-learning_rate-0.001-max_depth-10,5,0.6622892109569511,1.814034074313645,100,0.001,10,0.838448797111818,1.7867978432639369,0.6540440670933004,0.6577672690348857,0.658562395470929,0.6406876515757193,0.6720844485110595,0.6485097910019755,0.664611183012501,0.7116489116335809,0.6866579667747286,0.6283184254608324
n_estimators-100-learning_rate-0.001-max_depth-10,6,0.6638395629685561,1.8137592724723013,100,0.001,10,0.8362444962482469,1.7870348039894182,0.660662889222354,0.6578363000862699,0.6616208520595219,0.6374920950462284,0.671860284764703,0.6502051634226533,0.6664786642274609,0.7093575842588631,0.6922127300023968,0.6306690665951091
n_estimators-100-learning_rate-0.001-max_depth-10,7,0.6630752203939188,1.8137220871722939,100,0.001,10,0.8370341386519258,1.7869225481096822,0.6543100890410903,0.6586614548234839,0.6578771111947164,0.6361200855910707,0.6714428015110908,0.6512533027775607,0.6652890929087578,0.7148391340483261,0.6878141044870602,0.6331450275560299
n_estimators-100-learning_rate-0.001-max_depth-10,8,0.6626707701723221,1.8139880320607535,100,0.001,10,0.8369748200826604,1.7869498491143887,0.6564597596248836,0.6536405231415935,0.6592641171671672,0.6376820836693637,0.6723120112884364,0.6521132076628804,0.6714279340651332,0.713799410780072,0.684908883169173,0.6250997711545181
n_estimators-100-learning_rate-0.001-max_depth-10,9,0.6629672504729462,1.813862016959085,100,0.001,10,0.8366400312437126,1.7869866190148418,0.6564022725182599,0.6536851797944068,0.6601908154042873,0.6422824419391788,0.6700776621081772,0.6500029752639146,0.6657913651254217,0.7082916563265034,0.690214939375309,0.632733196874003
n_estimators-100-learning_rate-0.001-max_depth-4,0,0.5862300852175166,1.836436786641387,100,0.001,4,0.6143030094457694,1.8337695445051037,0.5733974732017509,0.5684083254297261,0.580237706913705,0.5565251809354068,0.5880603026294466,0.5561447364301946,0.6048064736340872,0.6269110638421954,0.6378001942155909,0.5700093949430629
n_estimators-100-learning_rate-0.001-max_depth-4,1,0.5885739426308202,1.835635360598251,100,0.001,4,0.6165479390520575,1.8330906237454916,0.5735064542209674,0.5675064428908511,0.578089927918632,0.5566119673347476,0.5838533523724734,0.5616373472362826,0.6144056249271452,0.634324029387785,0.6423043433200061,0.5734999366993123
n_estimators-100-learning_rate-0.001-max_depth-4,2,0.5865110073354363,1.8357958928282183,100,0.001,4,0.6129210485201603,1.8334037017772364,0.572133970803169,0.5626634899474259,0.5805670610766882,0.5519696012142343,0.5888661415452808,0.5592891123067023,0.6113257463121438,0.6270682285768667,0.6370338748242677,0.5741928467475834
n_estimators-100-learning_rate-0.001-max_depth-4,3,0.5859167258038915,1.8361572856613193,100,0.001,4,0.6146742893496754,1.8334453816656584,0.5697228487591697,0.561811374133145,0.5758528354388405,0.5545740143049889,0.5834677722951878,0.5536617163101458,0.608698644535616,0.6333634110144432,0.6417831807466305,0.5762314605007475
n_estimators-100-learning_rate-0.001-max_depth-4,4,0.5851308208345334,1.8362352740508001,100,0.001,4,0.6129560974891033,1.8335991539011935,0.573608146700336,0.5556331713890978,0.5729636577802064,0.5536618943328101,0.5899044171805798,0.5537397084697983,0.6106075656548458,0.630082347310396,0.640234598413824,0.5708727011134404
