condition,seed,avg_test_pcc,avg_test_rmse,min_samples_split,max_features,subsample,avg_train_pcc,avg_train_rmse,fold01_test_pcc,fold02_test_pcc,fold03_test_pcc,fold04_test_pcc,fold05_test_pcc,fold06_test_pcc,fold07_test_pcc,fold08_test_pcc,fold09_test_pcc,fold10_test_pcc
min_samples_split-2-max_features-log2-subsample-0.5,0,0.7189216099309623,1.3089167669015833,2,log2,0.5,0.9999964373404797,0.005178308253276751,0.6925275091689209,0.7200395486161192,0.7066913841297147,0.7030066516705118,0.7280781170172917,0.7345276440676415,0.716939431973312,0.7781153744145488,0.72827609284223,0.6810143454093336
min_samples_split-2-max_features-log2-subsample-0.5,1,0.7189059425884744,1.308933803223564,2,log2,0.5,0.9999964272338197,0.0051860502495473405,0.6971457144113815,0.7212541747600081,0.7123680543166938,0.7037285533420543,0.7259592810349731,0.7314019162903462,0.7129099815774123,0.7781597367183557,0.7241446063136485,0.6819874071198709
min_samples_split-2-max_features-log2-subsample-0.5,2,0.7179721801775155,1.31075289374468,2,log2,0.5,0.999996376848468,0.005224133943527271,0.6936586250396173,0.7183628343394389,0.7061527328040229,0.6982742479148537,0.7245405381870444,0.7330999332633941,0.71798713943847,0.778089798982475,0.7255768474218767,0.6839791043839623
min_samples_split-2-max_features-log2-subsample-0.5,3,0.7176776158120215,1.3111934725829264,2,log2,0.5,0.9999963941646728,0.005209652486062694,0.6960288592881703,0.7217628194215837,0.7081119255655546,0.6994571358685305,0.7253445720785574,0.7306724267760585,0.7129022379087926,0.7752136574840652,0.7249552567225082,0.6823272670063936
min_samples_split-2-max_features-log2-subsample-0.5,4,0.7191009845699885,1.308865071728828,2,log2,0.5,0.9999964034494188,0.005202171675911775,0.697257100506814,0.7205835985449794,0.7064399216305655,0.6989733338417498,0.7237164782342449,0.7355827698038238,0.7159655856264664,0.7794043763397696,0.728390594685963,0.6846960864855078
min_samples_split-2-max_features-log2-subsample-0.5,5,0.7194019978588951,1.3078231212677118,2,log2,0.5,0.9999964466868685,0.005173130896585857,0.694385847079119,0.7175183602756896,0.7145634082104773,0.7030770619083822,0.7257233452797589,0.737563932184153,0.713191495483803,0.774877721467921,0.7255287522016067,0.6875900544980404
min_samples_split-2-max_features-log2-subsample-0.5,6,0.7184354611849146,1.3100984053279408,2,log2,0.5,0.9999963714983728,0.005227479015917606,0.6983688613692046,0.7198077487069066,0.7088593449227134,0.6995745386932949,0.7238341306685708,0.7330218594517036,0.7160253076980523,0.7769842144604293,0.7269049651760137,0.6809736407022564
min_samples_split-2-max_features-log2-subsample-0.5,7,0.7183654043531547,1.310080427356628,2,log2,0.5,0.9999964108571191,0.005197553018097258,0.6939254538914914,0.7207045712654985,0.7078072512071059,0.7022800542330669,0.7262371357238412,0.7341573677629756,0.7156961256305445,0.7769864927444414,0.7237819917963934,0.6820775992761873
min_samples_split-2-max_features-log2-subsample-0.5,8,0.7182345845867907,1.3103546029630195,2,log2,0.5,0.9999964326446766,0.005181570649821382,0.6929704481618832,0.7210135729581425,0.7067742400400835,0.7015408849606618,0.7265903013107391,0.7350553999263905,0.7170373605183032,0.7727244623330343,0.724957918917948,0.6836812567407213
min_samples_split-2-max_features-log2-subsample-0.5,9,0.7174518059591811,1.3116837885477242,2,log2,0.5,0.9999964835367647,0.005144358007092801,0.6941389528164895,0.714427322095482,0.7087053154096843,0.7021880923851698,0.7288716198465188,0.730559166784492,0.7149727605527278,0.7756624658559986,0.7233347513889279,0.6816576124563214
min_samples_split-2-max_features-log2-subsample-0.6,0,0.7190406213747312,1.308866560455804,2,log2,0.6,0.9999986475831328,0.0031861935442854495,0.6969859943387781,0.7184502648708281,0.7073239382596548,0.7031034299197412,0.7251788317941508,0.7314478861183911,0.7120582467819404,0.7817569784050331,0.7264156005003566,0.6876850427584391
min_samples_split-2-max_features-log2-subsample-0.6,1,0.7188245756726688,1.3091302695369782,2,log2,0.6,0.9999986808959112,0.0031472830695254876,0.6971802003224272,0.7178056120260632,0.7107642518972825,0.700592492901321,0.7240270665148412,0.7335548749205978,0.7153494726859199,0.778876868991883,0.7225574576551657,0.6875374588111864
