condition,seed,avg_test_pcc,avg_test_rmse,min_samples_split,max_features,subsample,avg_train_pcc,avg_train_rmse,fold01_test_pcc,fold02_test_pcc,fold03_test_pcc,fold04_test_pcc,fold05_test_pcc,fold06_test_pcc,fold07_test_pcc,fold08_test_pcc,fold09_test_pcc,fold10_test_pcc
min_samples_split-2-max_features-log2-subsample-0.5,0,0.7205833220471847,1.3072189060784292,2,log2,0.5,0.9992304875001217,0.07909397066149079,0.7003509044990522,0.7264423239330846,0.7156816354615398,0.7046288195718341,0.7184225028399502,0.7370788568101274,0.7201043473782334,0.7740321265523108,0.720873619871311,0.6882180835544023
min_samples_split-2-max_features-log2-subsample-0.5,1,0.7210038387555546,1.3065705675347652,2,log2,0.5,0.9992351426217347,0.07882981786945738,0.6949355334905664,0.7266819125750783,0.709916615578978,0.7080920000962444,0.7223005690713381,0.7386691453702402,0.7168467376316857,0.7787653619447261,0.7248412156681409,0.6889892961285488
min_samples_split-2-max_features-log2-subsample-0.5,2,0.7204728011000038,1.3074298211960609,2,log2,0.5,0.9992253798302885,0.07937378273111637,0.7010079009000229,0.729107056177912,0.7169900670097173,0.7054542167199072,0.7166397281076475,0.7337731570571179,0.7200668200087676,0.7776591208570273,0.718009636961975,0.6860203071999427
min_samples_split-2-max_features-log2-subsample-0.5,3,0.7204055004839958,1.3077793811064253,2,log2,0.5,0.9992373824557479,0.07872482049943781,0.6962978271772883,0.7286228247157357,0.7133457573572978,0.7031455701402973,0.7190097748489573,0.7351527292482467,0.7194971917161903,0.7758493693550429,0.720667035558427,0.6924669247224748
min_samples_split-2-max_features-log2-subsample-0.5,4,0.721470785880799,1.3062120509043686,2,log2,0.5,0.9992324757653893,0.07897363725687072,0.7023665925052359,0.7286414595978173,0.7141341185230015,0.7043150718253784,0.7190851622675759,0.737105973643139,0.724078258571407,0.774305665965555,0.7194695275950459,0.6912060283138355
min_samples_split-2-max_features-log2-subsample-0.5,5,0.7204932667412257,1.307578008327581,2,log2,0.5,0.9992318213361384,0.07900261205658203,0.7001841244919765,0.7300235733376422,0.7144249745631207,0.7010968336781999,0.7186161942275203,0.7329823469830309,0.7183141227385836,0.775911119669744,0.7222547245718756,0.6911246531505636
min_samples_split-2-max_features-log2-subsample-0.5,6,0.7211317303441562,1.3061992078335225,2,log2,0.5,0.9992278266588854,0.0792065686075932,0.6985655651528253,0.7285373574902864,0.7118411040269254,0.7049906192605717,0.7158728661892241,0.7394178952660396,0.7229542728991456,0.7787457828591414,0.7211798041283338,0.6892120361690688
min_samples_split-2-max_features-log2-subsample-0.5,7,0.7209257065102503,1.3070199033753416,2,log2,0.5,0.9992290608166435,0.07917649656284176,0.6958290801714128,0.7273571319303485,0.7112831005990295,0.7073459720125433,0.719556787801227,0.7333966895071582,0.7193971380350774,0.7766744998760811,0.7247282897175183,0.6936883754521067
min_samples_split-2-max_features-log2-subsample-0.5,8,0.7201815207431146,1.3079522134583594,2,log2,0.5,0.9992379087117863,0.07867853744187299,0.6977248562335993,0.7279881498865648,0.7133557387978907,0.7027751413276949,0.7191538372969377,0.7333024502547867,0.7207987990512609,0.7773059055952031,0.7211789338432242,0.6882313951439839
min_samples_split-2-max_features-log2-subsample-0.5,9,0.719829231989106,1.308371549497046,2,log2,0.5,0.9992300113208147,0.07912688731381637,0.6971554839201998,0.7237729946998005,0.7141914306699129,0.7021535109807154,0.7204699487384933,0.7359420412930942,0.7193951289418898,0.7744881826146791,0.7213389985998988,0.689384599432376
min_samples_split-2-max_features-log2-subsample-0.6,0,0.7203695710387109,1.3078930548740653,2,log2,0.6,0.9994608760624584,0.06604623871355789,0.7028156943648667,0.7219413817310394,0.7151997216805449,0.7035466057389896,0.7202106843976552,0.7369369202587392,0.7181916895519309,0.7768283824649278,0.7224385886703963,0.6855860415280188
min_samples_split-2-max_features-log2-subsample-0.6,1,0.720816596047145,1.3073531323076462,2,log2,0.6,0.999463177700115,0.0658851171860308,0.6982967764830742,0.7267137153416644,0.7134149701784799,0.7057766324515217,0.7210325046269414,0.7356651946700848,0.7191805484489874,0.7747285124253241,0.7216879812742911,0.6916691245710808
min_samples_split-2-max_features-log2-subsample-0.6,2,0.7203351000933471,1.3080944339765757,2,log2,0.6,0.9994555412025903,0.06635838312606682,0.7022848837652726,0.7304153318444996,0.7133501096704333,0.7012347640637893,0.7199285028817621,0.7361483862311238,0.7221054836650287,0.774687845651069,0.7183133386842362,0.6848823544762558
min_samples_split-2-max_features-log2-subsample-0.6,3,0.7200581269706698,1.308465435057231,2,log2,0.6,0.9994668535560312,0.06565263385918886,0.6979049267664859,0.7280263112113681,0.7120761676149624,0.7010767102974044,0.7212863172298508,0.7358774515390121,0.7177828557193728,0.777065990980034,0.7204082990745285,0.6890762392736802
min_samples_split-2-max_features-log2-subsample-0.6,4,0.7214080210939079,1.3064699404089586,2,log2,0.6,0.9994580124485631,0.06619219693309732,0.6969226211519526,0.727980850920896,0.7105101972110666,0.7057452786044283,0.7235056132907614,0.7367173125759297,0.7209632671751646,0.7797172076658822,0.7220238588313665,0.6899940035116304
min_samples_split-2-max_features-log2-subsample-0.6,5,0.7200141799679096,1.3083338633101325,2,log2,0.6,0.9994655312466829,0.06571272844403218,0.7021762547538158,0.727343557245263,0.7129595475418047,0.7036275367782262,0.7170802481909972,0.7363677365662161,0.7186970096516002,0.7761653826132209,0.7216242878256154,0.6841002385123366
min_samples_split-2-max_features-log2-subsample-0.6,6,0.7213501692789921,1.3063232301701597,2,log2,0.6,0.9994536435796268,0.06647578645930759,0.7009337327446779,0.7290599208722699,0.712696277027907,0.7068226165896009,0.7188812538933134,0.7363067328344308,0.7189430609759417,0.7751413792829006,0.725275992576923,0.6894407259919553
min_samples_split-2-max_features-log2-subsample-0.6,7,0.721072500142381,1.3066946384276412,2,log2,0.6,0.9994603243788773,0.06606221239411436,0.6973158849282775,0.7293499738651604,0.7141580559721429,0.7061421986293628,0.7202560263634684,0.7329955533490656,0.7200081433751848,0.7765361395384301,0.7241319543403811,0.6898310710623368
min_samples_split-2-max_features-log2-subsample-0.6,8,0.720630008014254,1.307552350948693,2,log2,0.6,0.9994626742740973,0.06588611951452522,0.6962773244085095,0.7259476204189836,0.7124099353525498,0.70528321451167,0.7213198542395325,0.735233626651897,0.7201040254871465,0.778478533369707,0.7227926915485204,0.6884532541540243
min_samples_split-2-max_features-log2-subsample-0.6,9,0.7199181632858678,1.3089930038298423,2,log2,0.6,0.9994583627398164,0.06619120180168092,0.6993656903194331,0.7229215107809919,0.7130884821887213,0.7028622749556881,0.7196521918251412,0.7367264402887472,0.7194721129312283,0.7741606171806451,0.7221817546148022,0.6887505577732801
min_samples_split-2-max_features-log2-subsample-0.7,0,0.7210672762528395,1.3069409960273937,2,log2,0.7,0.9995983429501856,0.056903784491519935,0.6969776281318519,0.7319634424131911,0.7144394684210498,0.7018213271625469,0.7187424149890799,0.7356239161376377,0.7199764337121538,0.7773130347424433,0.7273655751826861,0.6864495216357546
min_samples_split-2-max_features-log2-subsample-0.7,1,0.722096177881245,1.3051012324847757,2,log2,0.7,0.9995946070519386,0.057123537730802164,0.6995426485769664,0.7297831561890922,0.7143387871805006,0.7055495104281205,0.720327853761461,0.7378163334931921,0.7233294024458379,0.776068269953539,0.7239297089601533,0.6902761078235872
min_samples_split-2-max_features-log2-subsample-0.7,2,0.7210738784208524,1.3068824708793394,2,log2,0.7,0.99959316721575,0.05725437258956717,0.7011029372331661,0.7275401316926049,0.7147011925467938,0.7056757011475361,0.7219059934305037,0.7361117099853218,0.7197307098129777,0.7775114082461151,0.7205903493298159,0.6858686507836879
min_samples_split-2-max_features-log2-subsample-0.7,3,0.7207101228546504,1.307659780151972,2,log2,0.7,0.9996014740002812,0.056647370138910115,0.705034276217236,0.7280547145726748,0.7120462852009,0.7016546467118195,0.7195857225829372,0.7355711891171868,0.717249679692952,0.7769918132359593,0.7237135583565698,0.6871993428582692
min_samples_split-2-max_features-log2-subsample-0.7,4,0.7205822099180456,1.3080763590847664,2,log2,0.7,0.9995950660679764,0.05711332102052684,0.701742543063292,0.7274368356353096,0.710330798782449,0.7062219964246762,0.720028900663518,0.7354851097027755,0.7214192115458198,0.7725141222476634,0.722294112716709,0.6883484683982424
min_samples_split-2-max_features-log2-subsample-0.7,5,0.7206565344020386,1.307338842987811,2,log2,0.7,0.9996008789011903,0.05669003605768186,0.6966814868552144,0.7277612780034017,0.7147505652323363,0.7017125851618771,0.716368268870964,0.7372812355084063,0.7203149963539309,0.7785220012317802,0.7245178589797051,0.6886550678227706
