group1,group2,t-statistic,p-value,bonferroni-corrected p-value
Multi-shelled ECIF,Only Ligand Descriptor,186.54905011197678,0.0,0.0
Multi-shelled ECIF,Weighted ECIF,228.84931587164937,0.0,0.0
Only Ligand Descriptor,Weighted ECIF,-171.2317538777179,0.0,0.0
