feature_name,PFI mean,PFI std
N;3;2;1;0-C;4;3;0;1-10.0,0.007004326609490042,0.0015777615650220678
C;4;3;1;0-C;4;3;0;1-10.0,0.00618870120298631,0.0012374401412485368
O;2;1;0;0-C;4;3;0;1-8.5,0.005534669443515391,0.001102272040812221
Chi2v,0.005211634315768587,0.0008491489054525496
MolMR,0.005141458131361013,0.0008241801512784318
Chi1,0.004899482071932766,0.001033799644880952
C;4;3;0;0-C;4;3;0;1-10.0,0.004864261132108797,0.0012884255909826805
O;2;1;0;0-C;4;3;0;1-10.0,0.004534651445622732,0.0011467732046796279
HeavyAtomMolWt,0.0044786978738381965,0.0008250395088059451
C;4;2;2;0-C;4;3;0;1-8.5,0.004289517213348892,0.0009584540862960213
C;4;1;3;0-C;4;3;0;1-6.5,0.004251408865684873,0.001025757311346222
MolWt,0.0040928268937410715,0.0008362200259145687
C;4;1;3;0-C;4;3;0;1-4.5,0.0040709580234008875,0.0007157047937425468
LabuteASA,0.003987618922291565,0.0008326962085138484
Chi1v,0.003963546825953197,0.0006708342376917026
C;4;2;1;1-C;4;3;0;1-8.5,0.0038043004157825872,0.0009958972583798348
Chi1n,0.0037973246810260337,0.0007632486665974996
C;4;2;2;0-C;4;3;0;1-10.0,0.003781769046273002,0.000676975074381809
C;4;1;3;0-C;4;3;0;1-10.0,0.003752438778176548,0.0009853960783743052
ExactMolWt,0.0037469844652133506,0.000699651120692764
Chi3n,0.0037423821278556404,0.0007418763235666186
Chi0v,0.003384061666235416,0.0006145340053618446
BertzCT,0.0031900774162511285,0.0006831046416448457
PEOE_VSA14,0.0031829955776559006,0.000837286020686402
Chi3v,0.0030760754230375093,0.0007107233836231116
C;4;2;2;0-C;4;3;0;1-6.5,0.002812453797995873,0.0008140992354296839
C;4;1;3;0-C;4;3;0;1-8.5,0.002758719895666706,0.0006922952108735533
C;4;3;1;0-C;4;3;0;1-8.5,0.00272303617833383,0.0007722000034477668
C;4;2;1;1-C;4;3;0;1-6.5,0.0026443368831029824,0.0008238592742427274
C;4;3;1;0-C;4;3;0;1-6.5,0.0024999696303397824,0.0007640185215174674
Chi0n,0.0024911772698031614,0.0006363865262417464
O;2;1;0;0-C;4;2;1;1-10.0,0.0024347747370003633,0.0006391531646883639
C;4;2;1;1-C;4;3;0;1-10.0,0.0024235926984139677,0.0007427106822602803
Chi4v,0.0023882392330547603,0.0006880438082751878
S;2;2;0;0-C;4;3;0;1-6.5,0.002387036710438602,0.0004733253179226322
N;3;2;1;0-C;4;2;2;1-8.5,0.0023790025891163263,0.0003806896811044961
Chi2n,0.0023614133207837786,0.0006930955516191516
Chi0,0.002349673827638806,0.0008438418749041015
C;4;2;1;1-C;4;2;1;1-10.0,0.0023445734826912554,0.0010433581323725798
C;4;2;2;0-C;4;2;2;1-10.0,0.0023394642177306506,0.0003902801216412661
EState_VSA1,0.002332650699916805,0.0005255305371735654
SlogP_VSA4,0.0023075022944473353,0.0005447238392798653
MaxAbsEStateIndex,0.002271778736763778,0.0005315741036846424
NumValenceElectrons,0.0022684288204957675,0.0006266693014897027
C;4;3;0;0-C;4;2;1;1-8.5,0.002268315918032056,0.00042505195815686637
HeavyAtomCount,0.0022590352938270646,0.00042039738758992406
C;4;3;0;0-C;4;3;0;1-8.5,0.0022436621575401385,0.0006130327696111416
MolLogP,0.0020971053788897114,0.0006699917464808921
C;4;3;0;0-C;4;2;2;1-10.0,0.0020466069328168857,0.0003532179402832007
N;3;2;1;0-C;4;2;1;1-10.0,0.0020117990032982092,0.0006984743040473384
C;4;3;0;1-C;4;3;0;1-8.5,0.001993252373372378,0.0005513135666755894
N;3;2;1;0-C;4;3;0;1-6.5,0.0019669140850915906,0.0005245871441442062
C;4;3;0;1-C;4;2;2;1-10.0,0.0019010857196178935,0.00026884323393347605
C;4;1;3;0-C;4;2;2;1-6.5,0.0018982668269577692,0.00035975547585697596
C;5;3;0;0-C;4;2;1;1-10.0,0.0018840172730810918,0.0006259741317389814
C;4;1;3;0-C;4;2;2;1-10.0,0.0018825537343512221,0.0003989010728174809
EState_VSA9,0.001856957039197323,0.0005915056644067127
