shell,seed,PCC,RMSE
10.0,0,0.8514046776374254,1.2385324448315431
10.0,1,0.8493719917063125,1.2463157401117384
10.0,2,0.8483548187330451,1.2487245019158353
10.0,3,0.8498119770994177,1.2423093614206606
10.0,4,0.8475153921274122,1.2494327493010615
10.0,5,0.8486097109606454,1.242195302831283
10.0,6,0.8493825482606278,1.2470290607248289
10.0,7,0.8503689182408848,1.242008526360536
10.0,8,0.8508380632068161,1.2417218218473511
10.0,9,0.8516551362745207,1.238918729804344
2.5,0,-0.05692320536155558,2.1944964434728087
2.5,1,-0.053388964245002085,2.1943941192436354
2.5,2,-0.054174877950790234,2.1945012708268608
2.5,3,-0.056512681925054827,2.1944275999605813
2.5,4,-0.0597691219145374,2.194768090795778
2.5,5,-0.05583006574607933,2.1945899649236877
2.5,6,-0.0534734638806844,2.194568076051242
2.5,7,-0.05741257545070906,2.194486213690803
2.5,8,-0.056160746236318844,2.1946241497524843
2.5,9,-0.055383838160343354,2.1943009635345048
4.5,0,0.8333503493902863,1.2633639352029795
4.5,1,0.833785963341732,1.2658075829978224
4.5,2,0.8287622393731995,1.2777948198776465
4.5,3,0.8296807992287809,1.2740600457786442
4.5,4,0.833696019627134,1.2639280331627905
4.5,5,0.8333949881828016,1.2672266079099381
4.5,6,0.8324735519414689,1.2682022675020739
4.5,7,0.8353991063622909,1.2608257455830356
4.5,8,0.8302357005078576,1.2726145805401639
4.5,9,0.8349533847143309,1.2614885344555056
6.5,0,0.850686092172782,1.2209540606573124
6.5,1,0.8494166630306081,1.222295219161521
6.5,2,0.8519576678552709,1.214169476467934
6.5,3,0.853032347996281,1.2141996514951454
6.5,4,0.8539276425287768,1.2143061988402937
6.5,5,0.8551422193708943,1.2068652503055903
6.5,6,0.8513412318265827,1.2161756601938811
6.5,7,0.8524521174872459,1.2154244233591716
6.5,8,0.8505749980040839,1.2188845080580197
6.5,9,0.8543840644263506,1.2111069529959932
8.5,0,0.8466392801787795,1.2384458221745192
8.5,1,0.8471318961075736,1.2360802420071966
8.5,2,0.8494535253780183,1.2315874495273618
8.5,3,0.8460519865409135,1.2421022421414802
8.5,4,0.8490824647968308,1.2344878674314654
8.5,5,0.8493075325850203,1.2320857681527306
8.5,6,0.8468847621342925,1.2360630102246302
8.5,7,0.8499575094739886,1.228927404559183
8.5,8,0.8494946035994873,1.2338237706041029
8.5,9,0.8477003351316706,1.2317555935444775
